leader,nation,type,keyness,translation
salvini,ita,lega,411.48,lega
salvini,ita,quindi,349.97,therefore
salvini,ita,qua,260.53,here
salvini,ita,euro,221.2,euro
salvini,ita,a,155.86,to/in
salvini,ita,renzi,137.52,renzi
salvini,ita,moneta,134.63,currency
salvini,ita,e,131.2,and
salvini,ita,gente,129.21,people
salvini,ita,casa,117.67,home/house
salvini,ita,papà,103.88,dad
salvini,ita,pontida,93.95,pontida
salvini,ita,bimbi,89.74,kids
salvini,ita,nord,88.72,north
salvini,ita,fra,85.71,between/among
salvini,ita,galera,79.93,jail
salvini,ita,palle,78.52,balls
salvini,ita,fornero,78.04,fornero
salvini,ita,però,71.53,however
salvini,ita,mi,70.45,me
salvini,ita,perché,69.54,why/because
salvini,ita,i,67.55,the (masculine plural)
salvini,ita,coi,66.08, with the (masculine plural)
salvini,ita,donna,61.2,woman
salvini,ita,viva,60.3,hurray
salvini,ita,tanto,58.61,much/however
salvini,ita,là,56.79,there
salvini,ita,se,56.48,if
salvini,ita,bruxelles,55.62,brussels
salvini,ita,ringrazio,55.17,I thank
salvini,ita,immigrazione,50.44,immigration
salvini,ita,alfano,49.07,alfano
salvini,ita,io,48.73,I
salvini,ita,vado,48.7,I go
salvini,ita,salvini,44.93,salvini
salvini,ita,clandestina,44.87,clandestine (feminine singular)
salvini,ita,normal,44.51,normal (singular)
salvini,ita,sono,43.98,I am/they are
salvini,ita,magari,43.66,possibly
salvini,ita,clandestini,43.46,clandestines
salvini,ita,gli,43.2,to him/the (plural)
salvini,ita,agricoltura,40.66,agriculture
salvini,ita,militante,40.66,party activist
salvini,ita,lavora,39.26,he/she works
salvini,ita,federale,37.86,federal (singular)
salvini,ita,uomo,37.45,man
salvini,ita,ti,37.36,you
salvini,ita,ne ,37.15,thereof
salvini,ita,terra,36.52,earth/ground/soil/land
salvini,ita,cazzo,36.45,dick/fuck
salvini,ita,ognuno,36.25,everyone
renzi,ita,soltanto,-239.99,only
renzi,ita,qui,-158.61,here
renzi,ita,dire,-157.81,say
renzi,ita,noi,-152.11,we/us
renzi,ita,partito,-145.25,party  
renzi,ita,vorrei,-125.14,I would like
renzi,ita,politica,-117.65,politics
renzi,ita,abbiamo,-114.27,we have
renzi,ita,del,-110.91,of the (masculine singular)
renzi,ita,che,-110.16,that
renzi,ita,molto,-98.97,much/very
renzi,ita,credo,-98.59,I believe
renzi,ita,tra,-96.8,between/among
renzi,ita,modo,-95.95,way
renzi,ita,italia,-92.45,Italy
renzi,ita,quale,-91.52,which
renzi,ita,pd,-90.54,pd
renzi,ita,ciò,-84.45,that
renzi,ita,democratico,-82.42,democratic
renzi,ita,punto,-81.1,point
renzi,ita,luogo,-80.89,place
renzi,ita,leopolda,-79.52,leopolda
renzi,ita,finalmente,-71.3,finally/eventually
renzi,ita,questo,-70.76,this
renzi,ita,semplicemente,-69.65,simply
renzi,ita,idea,-66.3,idea
renzi,ita,di,-63.85,of
renzi,ita,bellezza,-63.07,beauty
renzi,ita,nostro,-61.76,our
renzi,ita,grande,-60.79,big/great
renzi,ita,tema,-60.24,topic
renzi,ita,discussione,-57.92,debate
renzi,ita,expo,-57.45,expo
renzi,ita,nel,-56.07,in the (masculine singular)
renzi,ita,allora,-51.6,then
renzi,ita,accaduto,-47.98,happened
renzi,ita,questioni,-46.61,issues
renzi,ita,dato,-46.32,since/given
renzi,ita,significa,-45.6,it means
renzi,ita,dirigente,-45.24,leader/executive
renzi,ita,questione,-44.7,issue
renzi,ita,ma,-44.09,but
renzi,ita,è,-42.62,is
renzi,ita,discutere,-42.28,discuss
renzi,ita,certo,-42.07,certain
renzi,ita,anche,-41.61,also
renzi,ita,elemento,-41.13,item/element
renzi,ita,elenco,-41.13,list
renzi,ita,delle,-40.99,of the (feminine plural)
renzi,ita,fatto,-40.99,fact/done
renzi,ita,detto,-40.58,said
renzi,ita,cambiamento,-40.25,change (noun)
renzi,ita,insegnanti,-40.25,teachers
renzi,ita,investimenti,-39.76,investments
renzi,ita,possiamo,-39.52,we can
renzi,ita,assemblea,-38.39,assembly
renzi,ita,dell,-38.35,of the
renzi,ita,atteggiamento,-37.01,attitude
renzi,ita,molta,-37.01,much (feminine singular)
renzi,ita,ruolo,-37.01,role
renzi,ita,cambiare,-36.76,change (verb)
