leader,nation,type,keyness,
trump,usa,hillary,467.76,
trump,usa,will,287.25,
trump,usa,they,282.15,
trump,usa,clinton,275.56,
trump,usa,she,242.92,
trump,usa,gonna,203.2,
trump,usa,very,201.05,
trump,usa,isis,94.76,
trump,usa,it,92.23,
trump,usa,great,88.99,
trump,usa,folks,87.48,
trump,usa,administration,78.83,
trump,usa,nafta,77.39,
trump,usa,trade,70.96,
trump,usa,incredible,70.7,
trump,usa,terrorism,70.66,
trump,usa,going,69.43,
trump,usa,tremendous,68.02,
trump,usa,almost,67.71,
trump,usa,re,67.01,
trump,usa,bad,66.29,
trump,usa,obamacare,64.95,
trump,usa,massive,62.77,
trump,usa,total,61.98,
trump,usa,illegal,59.8,
trump,usa,borders,59.42,
trump,usa,disaster,55.5,
trump,usa,okay,54.9,
trump,usa,have,54.27,
trump,usa,syria,53.89,
trump,usa,border,53.62,
trump,usa,horrible,53.62,
trump,usa,iraq,52.6,
trump,usa,country,51.99,
trump,usa,crime,51.47,
trump,usa,immigration,50.94,
trump,usa,countries,50.84,
trump,usa,radical,48.94,
trump,usa,east,48.59,
trump,usa,politicians,48.54,
trump,usa,wanna,48.36,
trump,usa,totally,47.48,
trump,usa,media,47.13,
trump,usa,corrupt,46.98,
trump,usa,number,46.96,
trump,usa,happen,45.57,
trump,usa,never,45.06,
trump,usa,inner,44.93,
trump,usa,mexico,44.61,
trump,usa,islamic,44.6,
trump,usa,cash,44.55,
trump,usa,deals,43.73,
trump,usa,immediately,43.27,
trump,usa,regulations,43.26,
trump,usa,which,43.11,
trump,usa,emails,42.83,
trump,usa,american,42.31,
trump,usa,hispanic,40.07,
trump,usa,amazing,39.17,
trump,usa,foreign,38.83,
trump,usa,deficit,38.69,
trump,usa,dollars,38.29,
trump,usa,unbelievable,37.68,
trump,usa,establishment,37.31,
trump,usa,cities,36.35,
trump,usa,destroyed,35.93,
trump,usa,libya,35.93,
trump,usa,its,35.58,
trump,usa,iran,35.46,
trump,usa,been,35.24,
trump,usa,obama,35.21,
trump,usa,look,34.65,
trump,usa,dishonest,34.54,
trump,usa,these,33.96,
clinton,usa,he,-308.54,
clinton,usa,his,-190.19,
clinton,usa,to,-121.94,
clinton,usa,together,-114.55,
clinton,usa,women,-101.55,
clinton,usa,economy,-100.95,
clinton,usa,donald,-100.93,
clinton,usa,need,-97.94,
clinton,usa,work,-92.03,
clinton,usa,kids,-88.34,
clinton,usa,here,-84.97,
clinton,usa,sure,-84.34,
clinton,usa,families,-79.54,
clinton,usa,college,-76.07,
clinton,usa,young,-68.55,
clinton,usa,kind,-67.4,
clinton,usa,trump,-66.48,
clinton,usa,america,-65.16,
clinton,usa,help,-64.07,
clinton,usa,disabilities,-61.21,
clinton,usa,someone,-58.4,
clinton,usa,let,-57.99,
clinton,usa,us,-57.45,
clinton,usa,tim,-57.04,
clinton,usa,hard,-56.7,
clinton,usa,who,-55.85,
clinton,usa,climate,-55.7,
clinton,usa,make,-54.45,
clinton,usa,should,-52.21,
clinton,usa,still,-51.52,
clinton,usa,when,-50.92,
clinton,usa,everyone,-50.44,
clinton,usa,wage,-50.13,
clinton,usa,too,-50.02,
clinton,usa,family,-49.89,
clinton,usa,dad,-47.63,
clinton,usa,can,-45.14,
clinton,usa,challenges,-44.92,
clinton,usa,well,-43.66,
clinton,usa,how,-42.62,
clinton,usa,pay,-42.07,
clinton,usa,for,-41.93,
clinton,usa,mother,-41.78,
clinton,usa,access,-40.53,
clinton,usa,i,-40.53,
clinton,usa,police,-40.06,
clinton,usa,stronger,-39.87,
clinton,usa,com,-38.95,
clinton,usa,businesses,-38.28,
clinton,usa,black,-38.18,
clinton,usa,about,-37.98,
clinton,usa,president,-36.89,
clinton,usa,ahead,-36.64,
clinton,usa,small,-34.6,
