leader,nation,rank,frequency,keyness,effect,type
trump,usa,1,344,461.13,0.9941,hillary
trump,usa,2,282,325.88,0.9441,clinton
trump,usa,3,1306,295.66,0.3898,will
trump,usa,4,361,196.89,0.6446,very
trump,usa,5,928,128.41,0.2966,going
trump,usa,6,102,86.75,0.8193,folks
trump,usa,7,347,84.23,0.4081,great
trump,usa,8,56,76.93,1,nafta
trump,usa,9,72,73.18,0.8934,administration
trump,usa,10,152,70.08,0.5874,trade
trump,usa,11,65,68.91,0.9107,incredible
trump,usa,12,61,68.87,0.9357,terrorism
trump,usa,13,60,67.56,0.9347,tremendous
trump,usa,14,49,67.32,1,almost
trump,usa,15,49,67.32,1,isis
trump,usa,16,99,65.63,0.7186,bad
trump,usa,17,56,62.33,0.9302,massive
trump,usa,18,51,61.58,0.961,total
trump,usa,19,43,59.07,1,borders
trump,usa,20,60,58.1,0.8735,illegal
trump,usa,21,39,53.57,1,syria
trump,usa,22,49,53.24,0.9206,horrible
trump,usa,23,44,52.25,0.955,iraq
trump,usa,24,72,52.1,0.7533,disaster
trump,usa,25,48,51.94,0.919,border
trump,usa,26,51,51.09,0.8875,crime
trump,usa,27,93,50.26,0.6422,countries
trump,usa,28,1541,48.17,0.1317,are
trump,usa,29,55,48.13,0.8313,politicians
trump,usa,30,35,48.08,1,wanna
trump,usa,31,487,47.71,0.2458,country
trump,usa,32,57,47.07,0.8073,totally
trump,usa,33,34,46.7,1,corrupt
trump,usa,34,85,46.51,0.6467,immigration
trump,usa,35,74,46.47,0.6978,number
trump,usa,36,39,45.62,0.9494,east
trump,usa,37,43,45.5,0.91,media
trump,usa,38,46,44.82,0.8761,radical
trump,usa,39,52,44.55,0.8225,inner
trump,usa,40,38,44.3,0.9481,islamic
trump,usa,41,42,44.22,0.908,cash
trump,usa,42,74,44.13,0.6783,mexico
trump,usa,43,107,43.35,0.5462,happen
trump,usa,44,64,43.3,0.7267,deals
trump,usa,45,41,42.94,0.9058,regulations
trump,usa,46,186,41.17,0.3878,never
trump,usa,47,43,41.09,0.868,iran
trump,usa,48,329,40.52,0.2792,american
trump,usa,49,35,40.34,0.9437,immediately
trump,usa,50,28,38.46,1,deficit
trump,usa,51,28,38.46,1,hispanic
trump,usa,52,27,37.09,1,establishment
trump,usa,53,39,36.16,0.8554,unbelievable
trump,usa,54,80,36.02,0.5799,dollars
trump,usa,55,70,35.91,0.624,cities
trump,usa,56,26,35.71,1,destroyed
trump,usa,57,26,35.71,1,libya
trump,usa,58,2097,35.69,0.0952,is
trump,usa,59,25,34.34,1,dishonest
trump,usa,60,64,34.09,0.6372,foreign
trump,usa,61,55,33.73,0.6889,amazing
clinton,usa,1,234,121.95,0.6234,together
clinton,usa,2,205,107.16,0.6245,donald
clinton,usa,3,161,105.33,0.707,economy
clinton,usa,4,265,101.25,0.5233,need
clinton,usa,5,314,97.63,0.4656,work
clinton,usa,6,102,89.14,0.8235,kids
clinton,usa,7,340,88.89,0.422,here
clinton,usa,8,118,86.34,0.751,sure
clinton,usa,9,156,82.55,0.6289,families
clinton,usa,10,135,82.35,0.6805,women
clinton,usa,11,82,79.22,0.8653,college
clinton,usa,12,289,76.61,0.4255,trump
clinton,usa,13,107,71.47,0.7152,young
clinton,usa,14,77,69.21,0.8353,kind
clinton,usa,15,132,66.85,0.6138,help
clinton,usa,16,145,66.47,0.5804,hard
clinton,usa,17,44,61.59,1,disabilities
clinton,usa,18,50,61.51,0.9613,someone
clinton,usa,19,417,61.15,0.305,america
clinton,usa,20,372,58.78,0.318,make
clinton,usa,21,251,58.58,0.3961,let
clinton,usa,22,210,57.57,0.4338,should
clinton,usa,23,47,57.44,0.9589,climate
clinton,usa,24,83,55.34,0.7145,still
clinton,usa,25,142,54.2,0.5234,too
clinton,usa,26,157,53.93,0.4931,pay
clinton,usa,27,38,53.19,1,tim
clinton,usa,28,48,53.14,0.921,wage
clinton,usa,29,276,52.25,0.352,president
clinton,usa,30,121,49.75,0.546,family
clinton,usa,31,126,49.48,0.5319,everyone
clinton,usa,32,39,46.61,0.9506,dad
clinton,usa,33,43,46.57,0.9122,challenges
clinton,usa,34,550,44.76,0.2203,can
clinton,usa,35,42,40.86,0.8683,access
clinton,usa,36,42,40.86,0.8683,mother
clinton,usa,37,106,39.85,0.519,police
clinton,usa,38,59,39.21,0.7133,ahead
clinton,usa,39,110,38.91,0.5015,businesses
clinton,usa,40,103,38.77,0.5195,election
clinton,usa,41,46,38.53,0.8062,black
clinton,usa,42,56,38.46,0.7262,stronger
clinton,usa,43,129,36.02,0.4386,campaign
clinton,usa,44,112,35.22,0.4691,small
clinton,usa,45,34,34.88,0.8902,progress
clinton,usa,46,75,34.66,0.5832,everything
clinton,usa,47,30,34.52,0.9363,ideas
